Streak,sum,scenario
1,100.0,generous
2,100.0,generous
3,100.0,generous
4,100.0,generous
5,100.0,generous
6,100.0,generous
7,100.0,generous
8,100.0,generous
9,100.0,generous
10,100.0,generous
11,100.0,generous
12,100.0,generous
13,100.0,generous
14,100.0,generous
15,100.0,generous
16,100.0,generous
17,100.0,generous
18,100.0,generous
19,100.0,generous
20,100.0,generous
21,100.0,generous
22,100.0,generous
23,100.0,generous
24,100.0,generous
25,100.0,generous
26,100.0,generous
27,100.0,generous
28,100.0,generous
29,100.0,generous
30,100.0,generous
31,100.0,generous
32,100.0,generous
33,100.0,generous
34,100.0,generous
35,100.0,generous
36,100.0,generous
37,100.0,generous
38,100.0,generous
39,100.0,generous
40,100.0,generous
41,100.0,generous
42,100.0,generous
43,100.0,generous
44,100.0,generous
45,100.0,generous
46,100.0,generous
47,100.0,generous
48,100.0,generous
49,100.0,generous
50,100.0,generous
51,100.0,generous
52,100.0,generous
53,100.0,generous
54,100.0,generous
55,100.0,generous
56,100.0,generous
57,100.0,generous
58,100.0,generous
59,100.0,generous
60,100.0,generous
61,100.0,generous
62,100.0,generous
63,100.0,generous
64,100.0,generous
65,100.0,generous
66,100.0,generous
67,100.0,generous
68,100.0,generous
69,100.0,generous
70,100.0,generous
71,100.0,generous
72,100.0,generous
73,100.0,generous
74,100.0,generous
75,100.0,generous
76,100.0,generous
77,100.0,generous
78,100.0,generous
79,100.0,generous
80,100.0,generous
81,100.0,generous
82,100.0,generous
83,100.0,generous
84,100.0,generous
85,100.0,generous
86,100.0,generous
87,100.0,generous
88,100.0,generous
89,100.0,generous
90,100.0,generous
91,100.0,generous
92,100.0,generous
93,100.0,generous
94,100.0,generous
95,100.0,generous
96,100.0,generous
97,100.0,generous
98,100.0,generous
99,100.0,generous
100,100.0,generous
101,100.0,generous
102,100.0,generous
103,100.0,generous
104,100.0,generous
105,100.0,generous
106,100.0,generous
107,100.0,generous
108,100.0,generous
109,100.0,generous
110,100.0,generous
111,100.0,generous
112,100.0,generous
113,100.0,generous
114,100.0,generous
115,100.0,generous
116,100.0,generous
117,100.0,generous
118,100.0,generous
119,100.0,generous
120,100.0,generous
121,100.0,generous
122,100.0,generous
123,100.0,generous
124,100.0,generous
125,100.0,generous
126,100.0,generous
127,100.0,generous
128,100.0,generous
129,100.0,generous
130,100.0,generous
131,99.9,generous
132,99.9,generous
133,99.9,generous
134,99.9,generous
135,99.9,generous
136,99.8,generous
137,99.7,generous
138,99.6,generous
139,99.4,generous
140,99.4,generous
141,99.3,generous
142,99.3,generous
143,99.1,generous
144,98.9,generous
145,98.8,generous
146,98.4,generous
147,97.8,generous
148,97.5,generous
149,96.8,generous
150,96.3,generous
151,96.0,generous
152,95.0,generous
153,94.5,generous
154,93.4,generous
155,92.60000000000001,generous
156,91.9,generous
157,91.5,generous
158,90.2,generous
159,88.9,generous
160,88.0,generous
161,86.8,generous
162,84.89999999999999,generous
163,84.0,generous
164,82.69999999999999,generous
165,81.39999999999999,generous
166,79.9,generous
167,78.2,generous
168,76.8,generous
169,75.2,generous
170,73.5,generous
171,71.7,generous
172,70.7,generous
173,69.1,generous
174,67.0,generous
175,65.5,generous
176,63.7,generous
177,62.1,generous
178,61.1,generous
179,59.9,generous
180,57.599999999999994,generous
181,56.10000000000001,generous
182,54.50000000000001,generous
183,53.300000000000004,generous
184,51.2,generous
185,50.0,generous
186,47.699999999999996,generous
187,46.2,generous
188,45.0,generous
189,42.8,generous
190,42.1,generous
191,40.300000000000004,generous
192,39.1,generous
193,37.5,generous
194,36.1,generous
195,34.699999999999996,generous
196,33.6,generous
197,32.6,generous
198,31.3,generous
199,29.9,generous
200,28.7,generous
201,27.700000000000003,generous
202,26.6,generous
203,25.8,generous
204,24.6,generous
205,24.099999999999998,generous
206,23.3,generous
207,22.7,generous
208,21.6,generous
209,20.599999999999998,generous
210,20.0,generous
211,19.0,generous
212,18.0,generous
213,17.1,generous
214,16.8,generous
215,15.9,generous
216,15.4,generous
217,15.1,generous
218,14.499999999999998,generous
219,14.099999999999998,generous
220,13.700000000000001,generous
221,12.7,generous
222,12.3,generous
223,11.4,generous
224,10.8,generous
225,10.299999999999999,generous
226,9.8,generous
227,9.2,generous
228,8.799999999999999,generous
229,8.4,generous
230,7.3,generous
231,6.9,generous
232,6.5,generous
233,6.2,generous
234,5.8999999999999995,generous
235,5.8999999999999995,generous
236,5.6000000000000005,generous
237,5.4,generous
238,5.1,generous
239,4.7,generous
240,4.5,generous
241,4.2,generous
242,4.0,generous
243,3.8,generous
244,3.5999999999999996,generous
245,3.5000000000000004,generous
246,3.5000000000000004,generous
247,3.5000000000000004,generous
248,3.5000000000000004,generous
249,3.4000000000000004,generous
250,3.3000000000000003,generous
251,2.9000000000000004,generous
252,2.7,generous
253,2.6,generous
254,2.5,generous
255,2.4,generous
256,2.3,generous
257,2.1999999999999997,generous
258,2.1,generous
259,2.0,generous
260,2.0,generous
261,1.7999999999999998,generous
262,1.7999999999999998,generous
263,1.5,generous
264,1.5,generous
265,1.5,generous
266,1.0,generous
267,0.8999999999999999,generous
268,0.8999999999999999,generous
269,0.8,generous
270,0.8,generous
271,0.6,generous
272,0.6,generous
273,0.5,generous
274,0.3,generous
275,0.3,generous
276,0.3,generous
277,0.3,generous
278,0.3,generous
279,0.3,generous
280,0.3,generous
281,0.3,generous
282,0.3,generous
283,0.3,generous
284,0.3,generous
285,0.3,generous
286,0.3,generous
287,0.3,generous
288,0.3,generous
289,0.3,generous
290,0.3,generous
291,0.3,generous
292,0.2,generous
293,0.2,generous
294,0.1,generous
295,0.1,generous
296,0.1,generous
297,0.0,generous
298,0.0,generous
299,0.0,generous
300,0.0,generous
