Streak,sum,scenario
1,100.0,midway
2,100.0,midway
3,100.0,midway
4,100.0,midway
5,100.0,midway
6,100.0,midway
7,100.0,midway
8,100.0,midway
9,100.0,midway
10,100.0,midway
11,100.0,midway
12,100.0,midway
13,100.0,midway
14,100.0,midway
15,100.0,midway
16,100.0,midway
17,100.0,midway
18,100.0,midway
19,100.0,midway
20,100.0,midway
21,100.0,midway
22,100.0,midway
23,100.0,midway
24,100.0,midway
25,100.0,midway
26,100.0,midway
27,100.0,midway
28,100.0,midway
29,100.0,midway
30,100.0,midway
31,100.0,midway
32,100.0,midway
33,100.0,midway
34,100.0,midway
35,100.0,midway
36,100.0,midway
37,100.0,midway
38,100.0,midway
39,100.0,midway
40,100.0,midway
41,100.0,midway
42,100.0,midway
43,100.0,midway
44,100.0,midway
45,100.0,midway
46,100.0,midway
47,100.0,midway
48,100.0,midway
49,100.0,midway
50,100.0,midway
51,100.0,midway
52,100.0,midway
53,100.0,midway
54,100.0,midway
55,100.0,midway
56,100.0,midway
57,100.0,midway
58,100.0,midway
59,100.0,midway
60,100.0,midway
61,100.0,midway
62,100.0,midway
63,100.0,midway
64,100.0,midway
65,100.0,midway
66,99.9,midway
67,99.8,midway
68,99.7,midway
69,99.3,midway
70,99.0,midway
71,98.7,midway
72,97.8,midway
73,97.0,midway
74,95.6,midway
75,93.60000000000001,midway
76,91.0,midway
77,89.7,midway
78,86.6,midway
79,84.2,midway
80,81.69999999999999,midway
81,78.2,midway
82,75.1,midway
83,71.7,midway
84,68.5,midway
85,63.7,midway
86,60.9,midway
87,57.599999999999994,midway
88,53.2,midway
89,49.6,midway
90,47.099999999999994,midway
91,43.7,midway
92,38.9,midway
93,36.4,midway
94,33.7,midway
95,30.7,midway
96,28.7,midway
97,25.8,midway
98,23.3,midway
99,20.8,midway
100,18.5,midway
101,17.0,midway
102,14.899999999999999,midway
103,13.700000000000001,midway
104,12.3,midway
105,11.1,midway
106,10.299999999999999,midway
107,9.2,midway
108,8.6,midway
109,7.8,midway
110,6.6000000000000005,midway
111,6.3,midway
112,5.7,midway
113,5.1,midway
114,4.3999999999999995,midway
115,4.0,midway
116,3.8,midway
117,3.4000000000000004,midway
118,3.2,midway
119,3.1,midway
120,2.8000000000000003,midway
121,2.5,midway
122,2.1999999999999997,midway
123,2.1,midway
124,1.6,midway
125,1.3,midway
126,1.0,midway
127,0.8999999999999999,midway
128,0.8999999999999999,midway
129,0.8999999999999999,midway
130,0.8999999999999999,midway
131,0.8,midway
132,0.8,midway
133,0.8,midway
134,0.7000000000000001,midway
135,0.6,midway
136,0.6,midway
137,0.6,midway
138,0.6,midway
139,0.6,midway
140,0.6,midway
141,0.6,midway
142,0.6,midway
143,0.4,midway
144,0.4,midway
145,0.4,midway
146,0.4,midway
147,0.3,midway
148,0.3,midway
149,0.3,midway
150,0.2,midway
151,0.2,midway
152,0.1,midway
153,0.1,midway
154,0.1,midway
155,0.1,midway
156,0.1,midway
157,0.1,midway
158,0.1,midway
159,0.1,midway
160,0.0,midway
161,0.0,midway
162,0.0,midway
163,0.0,midway
164,0.0,midway
165,0.0,midway
166,0.0,midway
167,0.0,midway
168,0.0,midway
169,0.0,midway
170,0.0,midway
171,0.0,midway
172,0.0,midway
173,0.0,midway
174,0.0,midway
175,0.0,midway
176,0.0,midway
177,0.0,midway
178,0.0,midway
179,0.0,midway
180,0.0,midway
181,0.0,midway
182,0.0,midway
183,0.0,midway
184,0.0,midway
185,0.0,midway
186,0.0,midway
187,0.0,midway
188,0.0,midway
189,0.0,midway
190,0.0,midway
191,0.0,midway
192,0.0,midway
193,0.0,midway
194,0.0,midway
195,0.0,midway
196,0.0,midway
197,0.0,midway
198,0.0,midway
199,0.0,midway
200,0.0,midway
201,0.0,midway
202,0.0,midway
203,0.0,midway
204,0.0,midway
205,0.0,midway
206,0.0,midway
207,0.0,midway
208,0.0,midway
209,0.0,midway
210,0.0,midway
211,0.0,midway
212,0.0,midway
213,0.0,midway
214,0.0,midway
215,0.0,midway
216,0.0,midway
217,0.0,midway
218,0.0,midway
219,0.0,midway
220,0.0,midway
221,0.0,midway
222,0.0,midway
223,0.0,midway
224,0.0,midway
225,0.0,midway
226,0.0,midway
227,0.0,midway
228,0.0,midway
229,0.0,midway
230,0.0,midway
231,0.0,midway
232,0.0,midway
233,0.0,midway
234,0.0,midway
235,0.0,midway
236,0.0,midway
237,0.0,midway
238,0.0,midway
239,0.0,midway
240,0.0,midway
241,0.0,midway
242,0.0,midway
243,0.0,midway
244,0.0,midway
245,0.0,midway
246,0.0,midway
247,0.0,midway
248,0.0,midway
249,0.0,midway
250,0.0,midway
251,0.0,midway
252,0.0,midway
253,0.0,midway
254,0.0,midway
255,0.0,midway
256,0.0,midway
257,0.0,midway
258,0.0,midway
259,0.0,midway
260,0.0,midway
261,0.0,midway
262,0.0,midway
263,0.0,midway
264,0.0,midway
265,0.0,midway
266,0.0,midway
267,0.0,midway
268,0.0,midway
269,0.0,midway
270,0.0,midway
271,0.0,midway
272,0.0,midway
273,0.0,midway
274,0.0,midway
275,0.0,midway
276,0.0,midway
277,0.0,midway
278,0.0,midway
279,0.0,midway
280,0.0,midway
281,0.0,midway
282,0.0,midway
283,0.0,midway
284,0.0,midway
285,0.0,midway
286,0.0,midway
287,0.0,midway
288,0.0,midway
289,0.0,midway
290,0.0,midway
291,0.0,midway
292,0.0,midway
293,0.0,midway
294,0.0,midway
295,0.0,midway
296,0.0,midway
297,0.0,midway
298,0.0,midway
299,0.0,midway
300,0.0,midway
