Streak,sum,scenario
1,100.0,sceptic
2,100.0,sceptic
3,100.0,sceptic
4,100.0,sceptic
5,100.0,sceptic
6,100.0,sceptic
7,100.0,sceptic
8,100.0,sceptic
9,100.0,sceptic
10,100.0,sceptic
11,100.0,sceptic
12,100.0,sceptic
13,100.0,sceptic
14,100.0,sceptic
15,100.0,sceptic
16,100.0,sceptic
17,100.0,sceptic
18,100.0,sceptic
19,100.0,sceptic
20,100.0,sceptic
21,100.0,sceptic
22,100.0,sceptic
23,100.0,sceptic
24,100.0,sceptic
25,100.0,sceptic
26,100.0,sceptic
27,100.0,sceptic
28,100.0,sceptic
29,100.0,sceptic
30,100.0,sceptic
31,100.0,sceptic
32,100.0,sceptic
33,100.0,sceptic
34,99.9,sceptic
35,99.8,sceptic
36,99.5,sceptic
37,98.4,sceptic
38,96.3,sceptic
39,92.80000000000001,sceptic
40,88.2,sceptic
41,83.1,sceptic
42,78.4,sceptic
43,70.5,sceptic
44,63.5,sceptic
45,55.60000000000001,sceptic
46,50.0,sceptic
47,43.5,sceptic
48,37.1,sceptic
49,31.1,sceptic
50,25.7,sceptic
51,21.7,sceptic
52,18.6,sceptic
53,16.2,sceptic
54,13.600000000000001,sceptic
55,11.200000000000001,sceptic
56,8.799999999999999,sceptic
57,7.7,sceptic
58,5.8999999999999995,sceptic
59,4.8,sceptic
60,3.4000000000000004,sceptic
61,3.2,sceptic
62,2.5,sceptic
63,2.1999999999999997,sceptic
64,1.9,sceptic
65,1.6,sceptic
66,1.4000000000000001,sceptic
67,1.4000000000000001,sceptic
68,1.4000000000000001,sceptic
69,0.8999999999999999,sceptic
70,0.7000000000000001,sceptic
71,0.6,sceptic
72,0.3,sceptic
73,0.2,sceptic
74,0.2,sceptic
75,0.2,sceptic
76,0.1,sceptic
77,0.1,sceptic
78,0.1,sceptic
79,0.1,sceptic
80,0.0,sceptic
81,0.0,sceptic
82,0.0,sceptic
83,0.0,sceptic
84,0.0,sceptic
85,0.0,sceptic
86,0.0,sceptic
87,0.0,sceptic
88,0.0,sceptic
89,0.0,sceptic
90,0.0,sceptic
91,0.0,sceptic
92,0.0,sceptic
93,0.0,sceptic
94,0.0,sceptic
95,0.0,sceptic
96,0.0,sceptic
97,0.0,sceptic
98,0.0,sceptic
99,0.0,sceptic
100,0.0,sceptic
101,0.0,sceptic
102,0.0,sceptic
103,0.0,sceptic
104,0.0,sceptic
105,0.0,sceptic
106,0.0,sceptic
107,0.0,sceptic
108,0.0,sceptic
109,0.0,sceptic
110,0.0,sceptic
111,0.0,sceptic
112,0.0,sceptic
113,0.0,sceptic
114,0.0,sceptic
115,0.0,sceptic
116,0.0,sceptic
117,0.0,sceptic
118,0.0,sceptic
119,0.0,sceptic
120,0.0,sceptic
121,0.0,sceptic
122,0.0,sceptic
123,0.0,sceptic
124,0.0,sceptic
125,0.0,sceptic
126,0.0,sceptic
127,0.0,sceptic
128,0.0,sceptic
129,0.0,sceptic
